iter	Passed	Remaining
399	41251	61877
400	41354	61773
401	41457	61671
402	41560	61567
403	41661	61460
404	41760	61352
405	41861	61245
406	41962	61139
407	42061	61030
408	42163	60926
409	42263	60818
410	42362	60709
411	42464	60604
412	42568	60503
413	42675	60405
414	42775	60298
415	42876	60192
416	42978	60086
417	43077	59978
418	43177	59871
419	43278	59766
420	43378	59658
421	43479	59552
422	43579	59445
423	43682	59342
424	43782	59235
425	43883	59129
426	43985	59025
427	44085	58917
428	44184	58809
429	44285	58704
430	44385	58597
431	44486	58491
432	44586	58384
433	44686	58277
434	44786	58171
435	44885	58062
436	44988	57959
437	45087	57852
438	45188	57746
439	45286	57636
440	45388	57533
441	45493	57432
442	45593	57326
443	45693	57220
444	45797	57117
445	45897	57012
446	45997	56905
447	46096	56797
448	46193	56687
449	46292	56579
450	46400	56483
451	46504	56381
452	46603	56273
453	46702	56166
454	46802	56059
455	46902	55954
456	47002	55847
457	47102	55741
458	47201	55633
459	47299	55524
460	47402	55422
461	47533	55353
462	47642	55257
463	47742	55150
464	47842	55044
465	47944	54940
466	48046	54836
467	48144	54728
468	48244	54621
469	48343	54515
470	48446	54412
471	48548	54307
472	48648	54202
473	48747	54095
474	48845	53987
475	48949	53885
476	49049	53779
477	49150	53674
478	49249	53567
479	49346	53458
480	49448	53354
481	49549	53250
482	49649	53144
483	49748	53037
484	49847	52931
485	49949	52827
486	50050	52722
487	50152	52618
488	50250	52511
489	50351	52406
490	50453	52302
491	50554	52198
492	50655	52094
493	50761	51994
494	50864	51891
495	50965	51787
496	51064	51681
497	51164	51575
498	51263	51469
499	51371	51371
500	51472	51267
501	51573	51162
502	51779	51161
503	51891	51067
504	51999	50970
505	52104	50868
506	52210	50769
507	52312	50664
508	52414	50560
509	52515	50455
510	52615	50349
511	52716	50245
512	52818	50141
513	52920	50037
514	53021	49933
515	53121	49826
516	53222	49722
517	53322	49616
518	53424	49513
519	53524	49407
520	53624	49301
521	53727	49198
522	53827	49093
523	53929	48989
524	54030	48884
525	54131	48779
526	54232	48675
527	54331	48568
528	54434	48466
529	54534	48361
530	54634	48255
531	54735	48150
532	54842	48051
533	54942	47946
534	55063	47859
535	55166	47755
536	55272	47655
537	55377	47554
538	55479	47450
539	55579	47345
540	55679	47240
541	55779	47134
542	55883	47032
543	55985	46928
544	56085	46823
545	56186	46719
546	56288	46615
547	56401	46521
548	56514	46426
549	56630	46334
550	56748	46243
551	56871	46156
552	56994	46069
553	57121	45985
554	57235	45891
555	57364	45809
556	57482	45717
557	57598	45624
558	57709	45527
559	57826	45435
560	57945	45344
561	58058	45248
562	58169	45151
563	58281	45054
564	58394	44958
565	58504	44860
566	58614	44761
567	58724	44663
568	58848	44576
569	58966	44483
570	59094	44398
571	59212	44305
572	59329	44212
573	59445	44118
574	59564	44025
575	59679	43930
576	59796	43836
577	59909	43740
578	60026	43646
579	60136	43547
580	60238	43442
581	60340	43337
582	60440	43231
583	60544	43127
584	60644	43021
585	60748	42917
586	60853	42815
587	60960	42713
588	61066	42611
589	61174	42510
590	61278	42407
591	61381	42303
592	61483	42198
593	61583	42092
594	61685	41987
595	61786	41882
596	61889	41777
597	61988	41671
598	62088	41565
599	62190	41460
600	62290	41353
601	62391	41248
602	62490	41142
603	62590	41036
604	62691	40930
605	62794	40826
606	62896	40722
607	63007	40623
608	63109	40518
609	63209	40412
610	63313	40309
611	63415	40204
612	63516	40099
613	63615	39992
614	63716	39887
615	63819	39783
616	63920	39678
617	64018	39571
618	64119	39466
619	64219	39360
620	64320	39255
621	64422	39150
622	64521	39044
623	64623	38939
624	64724	38834
625	64825	38729
626	64928	38625
627	65034	38523
628	65135	38418
629	65235	38313
630	65345	38213
631	65444	38107
632	65544	38001
633	65643	37895
634	65746	37791
635	65847	37686
636	65947	37581
637	66046	37474
638	66147	37369
639	66244	37262
640	66351	37160
641	66452	37056
642	66553	36951
643	66653	36845
644	66756	36741
645	66857	36636
646	66965	36536
647	67065	36430
648	67166	36325
649	67266	36220
650	67369	36116
651	67472	36012
652	67573	35907
653	67672	35802
654	67773	35697
655	67874	35592
656	67975	35487
657	68072	35381
658	68172	35275
659	68273	35170
660	68373	35066
661	68474	34961
662	68574	34856
663	68673	34750
664	68777	34647
665	68877	34542
666	68987	34442
667	69090	34338
668	69190	34233
669	69293	34129
670	69393	34024
671	69493	33919
672	69594	33814
