iter	MultiClass
182	0.7405484002
183	0.7404900456
184	0.7404672393
185	0.7404456568
186	0.7402496057
187	0.7402018799
188	0.7401789078
189	0.7401550556
190	0.7401201905
191	0.7400984201
192	0.7398907847
193	0.7395557155
194	0.7395152958
195	0.7393882884
196	0.7393643495
197	0.739206882
198	0.7391659104
199	0.7391436071
200	0.7390818522
201	0.7390620861
202	0.7389235155
203	0.7389025825
204	0.7388794224
205	0.7387987755
206	0.7387477783
207	0.7387110396
208	0.7386876831
209	0.7386644671
210	0.7386402659
211	0.7385539916
212	0.7385322145
213	0.7384359221
214	0.7383024432
215	0.7382797532
216	0.7382548401
217	0.7382146659
218	0.7381914964
219	0.7380944615
220	0.73807143
221	0.7380466077
222	0.7379920727
223	0.7379318973
224	0.7379079571
225	0.7378859345
226	0.7378197652
227	0.7377982719
228	0.737687259
229	0.7376661423
230	0.7376310676
231	0.7376070096
232	0.7375410058
233	0.7375170022
234	0.737494207
235	0.7374645949
236	0.7374207621
237	0.737351979
238	0.7373295303
239	0.7372140716
240	0.7371907284
241	0.7371592948
242	0.7371063983
243	0.7370845895
244	0.7370257956
245	0.7369946142
246	0.7369733967
247	0.7369395803
248	0.7369163424
249	0.7368943939
250	0.7368729475
251	0.7367943987
252	0.7367644137
253	0.7367374437
254	0.73671385
255	0.7366909931
256	0.7366667185
257	0.7365447809
258	0.7365044119
259	0.7364812937
260	0.7363209279
261	0.7362373209
262	0.7362116262
263	0.7361693579
264	0.73613999
265	0.7360793435
266	0.7360195267
267	0.7359633444
268	0.7359401641
269	0.7358975555
270	0.7358739054
271	0.735852286
272	0.7358236944
273	0.7357511137
274	0.735717605
275	0.7356856071
276	0.735662694
277	0.7356105338
278	0.7355897357
279	0.7355655518
280	0.7355337466
281	0.7355133862
282	0.7353396692
283	0.7352831198
284	0.7351629171
285	0.7351406968
286	0.7350563672
287	0.7350316061
288	0.7349830169
289	0.7349355374
290	0.7349125533
291	0.7348101163
292	0.7347729105
293	0.7347514851
294	0.7347305023
295	0.7347098311
296	0.7346895177
297	0.7346679879
298	0.7346460789
299	0.7345971619
300	0.7345660775
301	0.7343981317
302	0.7343199483
303	0.7342905105
304	0.7342231395
305	0.7341989618
306	0.7341510533
307	0.7341195326
308	0.7340960366
309	0.7340727546
310	0.7340476934
311	0.734023778
312	0.7340022802
313	0.7339797456
314	0.7339502304
315	0.7338416903
316	0.7338183987
317	0.7337943463
318	0.7337705002
319	0.7337468945
320	0.7336839845
321	0.7336585617
322	0.7336357928
323	0.7335526243
324	0.7334661188
325	0.7333684142
326	0.7333006714
327	0.7332771891
328	0.733253283
329	0.7332293906
330	0.7332058181
331	0.7331437311
332	0.7330800991
333	0.7329577173
334	0.7329352205
335	0.7329113938
336	0.732888554
337	0.7328656843
338	0.7328039025
339	0.7327807264
340	0.7327581987
341	0.7327341136
342	0.7327039782
343	0.7326808045
344	0.7326598465
345	0.7326368846
346	0.7326128294
347	0.7325874064
348	0.7325671444
349	0.7325420684
350	0.7325182077
351	0.7324871415
352	0.7324644388
353	0.7324414081
354	0.7323894186
355	0.7323682716
356	0.7323424069
357	0.7323203693
358	0.73224333
359	0.7321859615
360	0.7321616941
361	0.7321321164
362	0.7320344242
363	0.7319491348
364	0.7319003676
365	0.7315149186
366	0.7314137083
367	0.7313648429
368	0.7313330508
369	0.7312125305
370	0.7311878495
371	0.7311635862
372	0.7311401232
373	0.7311114257
374	0.7310894922
375	0.7310632618
376	0.7310384541
377	0.7309936131
378	0.7309724359
379	0.7308557853
380	0.7308338218
381	0.7305731994
382	0.7305484827
383	0.7305242816
384	0.7305005274
385	0.7304792059
386	0.7304560019
387	0.7304330977
388	0.7303166779
389	0.7302851308
390	0.7302612851
391	0.7302390701
392	0.7302165583
393	0.7301424962
394	0.7300680766
395	0.7299960644
396	0.7299745471
397	0.7299496114
398	0.7299270201
399	0.7297440204
400	0.7297154143
401	0.7296915785
402	0.7296674813
403	0.7296028205
404	0.7295819067
405	0.7295586568
406	0.7294888206
407	0.7294649441
408	0.7294195195
409	0.7293873861
410	0.729364561
411	0.7293409817
412	0.728993847
413	0.7289694126
414	0.7289486668
415	0.7289257182
416	0.7289035901
417	0.7288289709
418	0.7288052846
419	0.7287603344
420	0.7287355736
421	0.728706004
422	0.7286809738
423	0.7286608259
424	0.7286378889
425	0.7285785178
426	0.728529387
427	0.7284328856
428	0.7284104975
429	0.7283624404
430	0.7282665088
431	0.7282452152
432	0.7282207066
433	0.7281600946
434	0.7281146768
435	0.7280913147
436	0.7280692303
437	0.7280469014
438	0.7279525998
439	0.7279315727
440	0.7279087333
441	0.7278858365
442	0.727862518
443	0.7278389937
444	0.7278163057
445	0.7277936143
446	0.727773163
447	0.7277491916
448	0.7277274314
449	0.7277059363
450	0.7276819261
451	0.7276579011
452	0.7276352244
453	0.7276131368
454	0.7275914579
455	0.7275719328
456	0.7275515868
457	0.7275270391
458	0.7274876802
459	0.7274647234
460	0.7273950792
461	0.7273713075
462	0.7273318694
463	0.7272988081
464	0.7272699996
465	0.7272387585
466	0.727215366
467	0.7271891465
468	0.7271657318
469	0.7271053899
470	0.7270830504
471	0.7270203587
472	0.7269673303
473	0.7267756739
474	0.7267332324
475	0.7266708692
476	0.7266493423
477	0.7266241673
478	0.726603371
479	0.7265817449
480	0.7265588221
481	0.7265369747
482	0.7263713509
483	0.7263471683
484	0.7263169341
485	0.7262924577
486	0.7262684605
487	0.7262146836
488	0.7261870693
489	0.7261644808
490	0.7261332502
491	0.7261109261
492	0.7260905136
493	0.7260687602
494	0.7260449403
495	0.7260226741
496	0.7259842658
497	0.7259622917
498	0.7259020498
499	0.7258777345
500	0.7257260481
501	0.7256960285
502	0.7256161681
503	0.7255852832
504	0.7255550534
505	0.7255317622
506	0.7254614864
507	0.7254324218
508	0.7254087453
509	0.7253849886
510	0.7253630329
511	0.7253416317
512	0.7252576575
513	0.7252275509
514	0.7251754104
515	0.7251523977
516	0.7251279651
517	0.7251049199
518	0.7250643032
519	0.7250418755
520	0.725015397
521	0.7249929182
522	0.7249717663
523	0.7249500649
524	0.7249263308
525	0.7249040708
526	0.7248785111
527	0.7248549341
528	0.7248305611
529	0.7246875226
530	0.7244932568
531	0.7244351677
532	0.7243212658
533	0.7242984746
534	0.7242771434
535	0.7242551594
536	0.7240029477
537	0.7239813753
538	0.7239582865
539	0.723907871
540	0.723884036
541	0.7237336282
542	0.7237088174
543	0.7236850611
544	0.7236629389
545	0.7236397095
546	0.7236164014
547	0.7235939781
548	0.7235668574
549	0.7235457979
550	0.7235228373
551	0.7235003604
552	0.7234769827
553	0.7234487043
554	0.7234287494
555	0.723404794
556	0.7233725988
557	0.7233128228
558	0.7232788763
559	0.7232287444
560	0.7232077697
561	0.7231819415
562	0.7231515053
563	0.7231041535
564	0.7230811434
565	0.7230368716
566	0.7230134579
567	0.7229889816
568	0.7229646316
569	0.7229388336
570	0.7229148808
571	0.7228907041
572	0.7228689671
573	0.7228222758
574	0.7228029308
575	0.7227774367
576	0.7227561616
577	0.7227324646
578	0.7227071143
579	0.7226743847
580	0.7226490892
581	0.7226036707
582	0.7225839936
583	0.7225523167
584	0.7225295166
585	0.7224761075
586	0.7224517949
587	0.7224261082
588	0.7223817893
589	0.7223529779
590	0.7223240822
591	0.7222992299
592	0.72223511
593	0.722210854
594	0.7221862506
595	0.7221629844
596	0.7221409536
597	0.7221182486
598	0.7220974425
599	0.7220720306
600	0.7220526196
601	0.7220297133
602	0.7220057334
603	0.7219774851
604	0.721939574
605	0.72191574
606	0.721890549
607	0.7218657213
608	0.7218426463
609	0.7217346264
610	0.7217105844
611	0.7216882955
612	0.7216649555
613	0.721645093
614	0.7216214533
615	0.7215969488
616	0.7215556121
617	0.7215338334
618	0.721508968
619	0.7214850593
620	0.721462675
621	0.7213821722
622	0.7213530743
623	0.7213309687
624	0.7213085859
625	0.7212846105
626	0.7212547783
627	0.7212317089
628	0.721210251
629	0.7211874389
630	0.7211630259
631	0.7210804102
632	0.7210284818
633	0.7209968786
634	0.7209584414
635	0.7209279003
636	0.7209053389
637	0.7208056276
638	0.7207189935
639	0.7206588201
640	0.7206339697
641	0.7206096292
642	0.7205808096
643	0.7205589648
644	0.720533811
645	0.7205092787
646	0.7204853901
647	0.7204555328
648	0.7204149616
649	0.7203943847
650	0.720370123
651	0.7203464672
652	0.7203215082
653	0.7202980016
654	0.7202739783
655	0.7202516833
656	0.7202286698
657	0.7202102235
658	0.7201857666
659	0.7201647653
660	0.7201436078
661	0.720120015
662	0.7200987922
663	0.7200741032
664	0.7200556849
665	0.7200305031
666	0.7200076977
667	0.719979596
668	0.7199225951
669	0.7198277265
670	0.7197720414
671	0.7197208906
672	0.719691201
673	0.7196698124
674	0.7196510961
675	0.7196199889
676	0.7195962231
677	0.7195749745
678	0.7195344546
679	0.7194867297
680	0.7194590407
681	0.7194356416
682	0.7194110806
683	0.7193887393
684	0.7193530368
685	0.719304487
686	0.7192636258
687	0.7191880841
688	0.7191636667
689	0.7191420276
690	0.7191240219
691	0.719025609
692	0.7189963068
693	0.7189746813
694	0.7189499175
695	0.7189011823
696	0.7188805285
697	0.7188526187
698	0.7187815942
699	0.7187578671
700	0.7187357937
701	0.7187115703
702	0.7186464258
703	0.7186231816
704	0.7186011911
705	0.7185783997
706	0.7185572465
707	0.7185343277
708	0.7185050382
709	0.7184827703
710	0.7183901059
711	0.7183233083
712	0.7182872374
713	0.7182657164
714	0.7182426672
715	0.7182193215
716	0.7181955748
717	0.718174722
718	0.7181544881
719	0.7181309698
720	0.7181084705
721	0.7180857661
722	0.7180648437
723	0.7180422246
724	0.7180180333
725	0.7179953257
726	0.717971449
727	0.717944502
728	0.7179223572
729	0.7178982176
730	0.717875796
731	0.7178471891
732	0.7177403695
733	0.717717267
734	0.7176933579
735	0.7176720218
736	0.7176455309
737	0.7176237365
738	0.7174690139
739	0.7174493053
740	0.7174028676
741	0.7173810047
742	0.7173608058
743	0.7173369182
744	0.717314699
745	0.7172866173
746	0.7172499232
747	0.7172281517
748	0.7172057344
749	0.7171824485
750	0.717160949
751	0.7171342412
752	0.7171115112
753	0.7170297944
754	0.7170062251
755	0.7169770084
756	0.7169210163
757	0.7168698417
758	0.7168456785
759	0.7168078184
760	0.7167665285
761	0.7167422023
762	0.7166983315
763	0.7166779886
764	0.7166569163
765	0.7166345401
766	0.7165849512
767	0.7165631685
768	0.7165106556
769	0.7164854136
770	0.7164520449
771	0.7164301556
772	0.7164000425
773	0.7163767472
774	0.7163538456
775	0.7163317787
776	0.7163071646
777	0.7162728506
778	0.7162498775
779	0.7162296032
780	0.7162050072
781	0.7161831982
782	0.7161582816
783	0.7161377138
784	0.71611608
785	0.7160915191
786	0.7160713257
787	0.715902502
788	0.7158648049
789	0.7158445743
790	0.7158219062
791	0.7157985831
792	0.7157690206
793	0.7157458857
794	0.7157248391
795	0.715699905
796	0.7156783927
797	0.7156390517
798	0.7155882673
799	0.7155487958
800	0.7155197239
801	0.7154983627
802	0.7154746114
803	0.7154513028
804	0.7154268745
805	0.71540439
806	0.7153836963
807	0.7153391859
808	0.7153155397
809	0.7152934658
810	0.7152705591
811	0.7152489882
812	0.7152137366
813	0.7151903603
814	0.715164824
815	0.7151416768
816	0.7151195183
817	0.7150975219
818	0.7150685432
819	0.7150450391
820	0.7150225433
821	0.714980208
822	0.7149583668
823	0.7149358481
824	0.7148730659
825	0.7148503182
826	0.7148275703
827	0.7148037199
828	0.7147807704
829	0.7147344883
830	0.7147111072
831	0.714688417
832	0.7146671448
833	0.714646428
834	0.7146237441
835	0.7145960928
836	0.7145723322
837	0.7145481532
838	0.7145255035
839	0.7144823489
840	0.7144204279
841	0.7143983413
842	0.7143781437
843	0.7143579035
844	0.7143362949
845	0.7143131943
846	0.7142939732
847	0.7142728506
848	0.7142505393
849	0.7142267086
850	0.7142052448
851	0.7141843292
852	0.7141622229
853	0.7141309559
854	0.7140899407
855	0.7140672748
856	0.7140326759
857	0.7140100291
858	0.7139875056
859	0.7139642892
860	0.7139422402
861	0.7139210296
862	0.713887236
863	0.7138619892
864	0.7138128465
865	0.7137870422
866	0.7137650767
867	0.7137364512
868	0.7137122716
869	0.7136843941
870	0.7136517932
871	0.7136302532
872	0.7136085196
873	0.7135868448
874	0.7135619157
875	0.7135367206
876	0.713513435
877	0.7134910293
878	0.7134703836
879	0.7134398445
880	0.7133981791
881	0.7132623186
882	0.7132406917
883	0.7132194878
884	0.7131964769
885	0.7131669923
886	0.7131459309
887	0.71312337
888	0.7131028919
889	0.7130803006
890	0.7130563209
891	0.7130348319
892	0.7130122111
893	0.7129895188
894	0.7129616464
895	0.7129395959
896	0.7129168461
897	0.7128950719
898	0.7128731324
899	0.7128373155
900	0.7128156076
901	0.7127959025
902	0.7127739024
903	0.7126832705
904	0.7126608316
905	0.7126402146
906	0.7126175957
907	0.7125937056
908	0.7125749622
909	0.7125521725
910	0.7125029017
911	0.7124814138
912	0.7124578241
913	0.7124363717
914	0.712412276
915	0.7123887899
916	0.7123461949
917	0.7123229297
918	0.7123012378
919	0.71227781
920	0.7122548578
921	0.7122072776
922	0.7121849354
923	0.7121624714
924	0.7121413827
925	0.712116569
926	0.7120961379
927	0.7120741051
928	0.7120522201
929	0.7120311285
930	0.7120061557
931	0.7119851473
932	0.7119619509
933	0.7119406816
934	0.7119195228
935	0.7118958065
936	0.711872661
937	0.7118482872
938	0.7118259476
939	0.7118050117
940	0.7117823059
941	0.7116540664
942	0.7116326343
943	0.7116103029
944	0.7115886151
945	0.7115656595
946	0.7115443357
947	0.7115229849
948	0.7115033296
949	0.7114801262
950	0.711428176
951	0.7114061836
952	0.7113833788
953	0.7113656774
954	0.7113410273
955	0.7113183193
956	0.7110946259
957	0.7110726479
958	0.7110477665
959	0.7110250182
960	0.7110019082
961	0.710980794
962	0.7109571817
963	0.7109303442
964	0.7109082663
965	0.7108845014
966	0.7108620088
967	0.7108388423
968	0.7108183445
969	0.710794679
970	0.7107709754
971	0.7107459054
972	0.710725268
973	0.7107015755
974	0.710664854
975	0.7106415237
976	0.7105623092
977	0.7105396327
978	0.7105168403
979	0.7104936776
980	0.7104708332
981	0.710446758
982	0.7103869744
983	0.7103627893
984	0.7103404125
985	0.7103117878
986	0.7102910294
987	0.7102691244
988	0.7102488373
989	0.710226891
990	0.7101905859
991	0.7101674251
992	0.7101441497
993	0.710124183
994	0.7100997898
995	0.7100593558
996	0.7100336409
997	0.7100103017
998	0.7099895487
999	0.7099652445
